City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Thinadhoo,MV,0.5333,72.9333,83.77,78,100,20.09,overcast clouds
322,Sanchor,IN,24.7553,71.7722,98.87,2,0,8.5,clear sky
323,Eenhana,NA,-17.4667,16.3333,64.74,88,99,4.56,light rain
324,Zhuanghe,CN,39.7008,122.9911,56.14,49,90,11.95,overcast clouds
325,Dunedin,NZ,-45.8742,170.5036,57.0,76,67,7.0,broken clouds
326,Marovoay,MG,-16.1,46.6333,80.6,83,20,5.75,few clouds
327,Imbituba,BR,-28.24,-48.6703,69.8,68,40,13.8,scattered clouds
328,Listvyanskiy,RU,54.4399,83.4984,28.99,50,84,5.01,broken clouds
329,Torit,SS,4.4133,32.5678,82.11,51,74,2.1,broken clouds
330,Pokaran,IN,26.9167,71.9167,96.06,3,0,9.4,clear sky
331,Mosetse,BW,-20.75,26.65,68.02,43,87,7.29,overcast clouds
332,Netivot,IL,31.4222,34.5886,57.99,100,13,3.0,few clouds
333,Palu,ID,-0.8917,119.8707,88.61,65,98,4.72,overcast clouds
334,Taoudenni,ML,22.6783,-3.9836,76.84,9,15,10.07,few clouds
335,Concord,US,37.978,-122.0311,64.0,39,1,3.44,clear sky
336,Acarau,BR,-2.8856,-40.12,77.07,89,100,9.35,overcast clouds
337,Soyo,AO,-6.1349,12.3689,76.3,87,100,5.59,overcast clouds
338,Khed Brahma,IN,24.0333,73.05,98.55,2,0,4.27,clear sky
339,Nizhniy Baskunchak,RU,48.2198,46.8311,45.48,53,0,9.42,clear sky
340,Lavrentiya,RU,65.5833,-171.0,-6.9,88,20,6.49,few clouds
341,Gizo,SB,-8.103,156.8419,84.38,68,58,2.77,broken clouds
342,Clarence Town,AU,-32.5833,151.7833,75.0,68,40,8.05,scattered clouds
343,Tiznit,MA,29.5833,-9.5,57.07,60,0,1.66,clear sky
344,Nanakuli,US,21.3906,-158.1547,75.2,69,75,8.05,broken clouds
345,Pristen,RU,51.2355,36.6959,48.2,53,75,13.42,light rain
346,Kristiinankaupunki,FI,62.2743,21.376,35.15,81,5,10.54,clear sky
