City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Camocim,BR,75.74,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
584,Hobyo,SO,83.37,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
588,Songjianghe,CN,61.77,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
589,Hambantota,LK,89.6,few clouds,6.1241,81.1185,Bungalow 63
592,Vanimo,PG,82.58,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
596,Menongue,AO,63.09,overcast clouds,-14.6585,17.691,Ritz Lauca
599,Guapore,BR,62.01,scattered clouds,-28.8456,-51.8903,Hotel Topo Gigio
600,Mount Isa,AU,89.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
603,Galesong,ID,78.8,heavy intensity rain,-5.3166,119.3661,Sapriadi Appy
604,Abha,SA,68.0,clear sky,18.2164,42.5053,Abha Hotel
606,Sao Filipe,CV,71.17,few clouds,14.8961,-24.4956,Tortuga B&B
607,Nhamunda,BR,73.26,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
611,Arica,CL,66.2,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
615,Vilhena,BR,67.71,overcast clouds,-12.7406,-60.1458,Hotel Mirage
616,Viru,PE,71.83,scattered clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
618,Shenzhen,CN,82.99,few clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
620,Luau,AO,65.46,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
622,Chicama,PE,70.23,scattered clouds,-7.8447,-79.1469,Chicama Me Gusta
624,Eyl,SO,82.38,scattered clouds,7.9803,49.8164,Amiin Hotel
625,Labuhan,ID,83.98,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
626,Durban,ZA,72.0,scattered clouds,-29.8579,31.0292,Hilton Durban
627,Muros,ES,61.0,moderate rain,42.7762,-9.0603,Apartment Av. Castelao
633,Bam,IR,76.24,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
635,Weleri,ID,89.6,few clouds,-6.9713,110.0666,Pengobatan Tradisional Weleri
638,Bushenyi,UG,63.64,overcast clouds,-0.5853,30.2114,College View Guest House
639,Balabac,PH,77.02,heavy intensity rain,7.9868,117.0645,Sing and Swing Lodge
641,Garcia,MX,68.0,overcast clouds,25.8167,-100.5833,"Priv.Paseo Alamedas,Garcia N.L"
642,Mareeba,AU,82.4,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
645,Srandakan,ID,84.07,broken clouds,-7.9386,110.2506,Puri Brata
648,Tura,IN,87.82,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
651,Kimbe,PG,84.65,light rain,-5.5502,150.1429,Kimbe Bay Hotel
653,Sur,OM,85.51,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
654,Kualakapuas,ID,84.2,few clouds,-3.0091,114.3876,Guest House Izonk
659,Daman,IN,86.59,clear sky,20.4167,72.85,Silver Sands Beach Resort
660,Ugoofaaru,MV,84.61,broken clouds,5.6667,73.0,Ungoofaaru Inn
663,Livramento,BR,77.0,light rain,-3.0254,-60.1803,Refúgio Samauma
665,Labuan,MY,87.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
